Unnamed: 0,elec,community,ID,Posting ID,community_elec,Title,Body,Text,Dates,Year,Month,Day,Time,Hits cnt,Rec cnt,ner,person,pred_Kc_kmhas,softmax_Kc_kmhas,pred_Ko_kodoli,softmax_Ko_kodoli,pred_Ro_kodoli,softmax_Ro_kodoli,max_sft,max_sft_label,avg_sft,avg_sft_label,ensemble_score
276520,20,MLB,20MLB136725,202201080064406451,MLB20,세대포위론은 국힘의 미래입니다,세대포위론이 대선에 효용이 있나 없나는중요한게 아닙니다지금 국힘 핵심지지층 6070 노인들이 죽으누가 국힘 핵심지지층이 되죠 4050은 민주당의 핵심 지지층이기때문에현재 2030을 끌어드리지 않으면국힘 미래의 당 존립기반이 휘청이죠세대포위론은 국힘이 무조건 갈수밖에 없는 길입니다,세대포위론은 국힘의 미래입니다 세대포위론이 대선에 효용이 있나 없나는중요한게 아닙니다지금 국힘 핵심지지층 노인들이 죽으누가 국힘 핵심지지층이 되죠 4050은 민주당의 핵심 지지층이기때문에현재 2030을 끌어드리지 않으면국힘 미래의 당 존립기반이 휘청이죠세대포위론은 국힘이 무조건 갈수밖에 없는 길입니다,2022-01-08,2022,1,8,10:17:00,121,0,"[('세대', 'O'), ('포위', 'O'), ('론', 'O'), ('은', 'O'), ('국', 'O'), ('힘', 'O'), ('의', 'O'), ('미래', 'O'), ('입니다', 'O'), ('세대', 'O'), ('포위', 'O'), ('론', 'O'), ('이', 'O'), ('대선', 'O'), ('에', 'O'), ('효용', 'O'), ('이', 'O'), ('있', 'O'), ('나', 'O'), ('없', 'O'), ('나', 'O'), ('는', 'O'), ('중요', 'O'), ('한', 'O'), ('게', 'O'), ('아닙니다', 'O'), ('지금', 'O'), ('국', 'O'), ('힘', 'O'), ('핵심', 'O'), ('지지층', 'O'), ('6070', 'B-NOH'), ('노인', 'O'), ('들', 'O'), ('이', 'O'), ('죽', 'O'), ('으', 'O'), ('누가', 'O'), ('국', 'O'), ('힘', 'O'), ('핵심', 'O'), ('지지층', 'O'), ('이', 'O'), ('되', 'O'), ('죠', 'O'), ('4050', 'B-NOH'), ('은', 'O'), ('민주당', 'B-ORG'), ('의', 'O'), ('핵심', 'O'), ('지지층', 'O'), ('이', 'O'), ('기', 'O'), ('때문', 'O'), ('에', 'O'), ('현재', 'O'), ('2030', 'B-NOH'), ('을', 'O'), ('끌', 'O'), ('어', 'O'), ('드리', 'O'), ('지', 'O'), ('않', 'O'), ('으면', 'O'), ('국', 'O'), ('힘', 'O'), ('미래', 'O'), ('의', 'O'), ('당', 'O'), ('존립', 'O'), ('기반', 'O'), ('이', 'O'), ('휘청이', 'O'), ('죠', 'O'), ('세대', 'O'), ('포위', 'O'), ('론', 'O'), ('은', 'O'), ('국', 'O'), ('힘', 'O'), ('이', 'O'), ('무조건', 'O'), ('갈', 'O'), ('수', 'O'), ('밖에', 'O'), ('없', 'O'), ('는', 'O'), ('길', 'O'), ('입니다', 'O')]",[],0,0.1913,0,0.0546999999999999,0,0.0061999999999999,0.1913,0,0.0841,0,0
272217,20,MLB,20MLB132422,202201100064480755,MLB20,멸공 할수도 있는말이죠 부들거릴필욘 없죠,별 특별난말도 아니고 걍 넘어가면 되는데 필요이상 부들거리며 화내니까 도리어 이상한거죠,멸공 할수도 있는말이죠 부들거릴필욘 없죠 별 특별난말도 아니고 걍 넘어가면 되는데 필요이상 부들거리며 화내니까 도리어 이상한거죠,2022-01-10,2022,1,10,17:36:00,61,0,"[('멸공', 'O'), ('할', 'O'), ('수', 'O'), ('도', 'O'), ('있', 'O'), ('는', 'O'), ('말', 'O'), ('이', 'O'), ('죠', 'O'), ('부들', 'O'), ('거릴', 'O'), ('필욘', 'O'), ('없', 'O'), ('죠', 'O'), ('별', 'O'), ('특별난', 'O'), ('말', 'O'), ('도', 'O'), ('아니', 'O'), ('고', 'O'), ('걍', 'O'), ('넘어가', 'O'), ('면', 'O'), ('되', 'O'), ('는데', 'O'), ('필요', 'O'), ('이상', 'O'), ('부들거리', 'O'), ('며', 'O'), ('화내', 'O'), ('니까', 'O'), ('도리어', 'O'), ('이상', 'O'), ('한', 'O'), ('거', 'O'), ('죠', 'O')]",[],0,0.1885,0,0.0308,0,0.0629999999999999,0.1885,0,0.0941,0,0
208299,20,MLB,20MLB68504,202202200065741187,MLB20,문재인 집권할때 민주당 정권 최소 몇년 갈거라고 보셨나요 5,전 최소 15년 생각했었습니다 그때 지금 야권 이미지는 처참 그자체라서,문재인 집권할때 민주당 정권 최소 몇년 갈거라고 보셨나요 전 최소 15년 생각했었습니다 그때 지금 야권 이미지는 처참 그자체라서,2022-02-20,2022,2,20,15:33:00,356,0,"[('문재인', 'B-PER'), ('집권', 'O'), ('할', 'O'), ('때', 'O'), ('민주당', 'B-ORG'), ('정권', 'O'), ('최소', 'O'), ('몇', 'O'), ('년', 'O'), ('갈', 'O'), ('거', 'O'), ('라고', 'O'), ('보', 'O'), ('셨', 'O'), ('나요', 'O'), ('5', 'B-NOH'), ('전', 'I-DAT'), ('최소', 'O'), ('15', 'B-NOH'), ('년', 'I-NOH'), ('생각', 'O'), ('했었', 'O'), ('습니다', 'O'), ('그때', 'O'), ('지금', 'O'), ('야권', 'O'), ('이미지', 'O'), ('는', 'O'), ('처참', 'O'), ('그', 'O'), ('자체', 'O'), ('라서', 'O')]",['문재인'],0,0.174599999999999,0,0.1237,0,0.0244999999999999,0.174599999999999,0,0.1076,0,0
186839,20,MLB,20MLB47044,202202270065998908,MLB20,안철수가 나라를 구했네요 6,아무것도 모르는 후보가 당선 될번 했는데다시 후진국으로 돌아갈수도 있엇는데너무 감사합니다,안철수가 나라를 구했네요 아무것도 모르는 후보가 당선 될번 했는데다시 후진국으로 돌아갈수도 있엇는데너무 감사합니다,2022-02-27,2022,2,27,22:16:00,927,0,"[('안철수', 'B-PER'), ('가', 'O'), ('나라', 'O'), ('를', 'O'), ('구했', 'O'), ('네요', 'O'), ('6', 'B-NOH'), ('아무것', 'O'), ('도', 'O'), ('모르', 'O'), ('는', 'O'), ('후보', 'O'), ('가', 'O'), ('당선', 'O'), ('될', 'O'), ('번', 'O'), ('했', 'O'), ('는데', 'O'), ('다시', 'O'), ('후진국', 'O'), ('으로', 'O'), ('돌아갈', 'O'), ('수', 'O'), ('도', 'O'), ('있', 'O'), ('엇', 'O'), ('는데', 'O'), ('너무', 'O'), ('감사', 'O'), ('합니다', 'O')]",['안철수'],0,0.303899999999999,0,0.193999999999999,0,0.0047,0.303899999999999,0,0.1675,0,0
237135,20,MLB,20MLB97340,202202030065162712,MLB20,심성정 누나 오늘 마지막 등판 인가요 1,오늘 전력투구네,심성정 누나 오늘 마지막 등판 인가요 오늘 전력투구네,2022-02-03,2022,2,3,20:43:00,366,0,"[('심성정', 'B-PER'), ('누나', 'O'), ('오늘', 'O'), ('마지막', 'O'), ('등판', 'O'), ('인가요', 'O'), ('1', 'B-NOH'), ('오늘', 'O'), ('전력투구', 'O'), ('네', 'O')]",['심성정'],0,0.3022,0,0.0207,0,0.0087,0.3022,0,0.1105,0,0
328858,20,MLB,20MLB189063,202112220063749178,MLB20,허경영한테 3 가면 이 vs 윤 누구표를 가지고 가는건가요 2,허경영도 보수쪽이라 윤쪽 표가 갈리는건가요,허경영한테 가면 이 vs 윤 누구표를 가지고 가는건가요 허경영도 보수쪽이라 윤쪽 표가 갈리는건가요,2021-12-22,2021,12,22,08:29:00,339,0,"[('허경영', 'B-PER'), ('한테', 'O'), ('3', 'B-NOH'), ('가', 'O'), ('면', 'O'), ('이', 'O'), ('vs', 'O'), ('윤', 'B-PER'), ('누구', 'O'), ('표', 'O'), ('를', 'O'), ('가지', 'O'), ('고', 'O'), ('가', 'O'), ('는', 'O'), ('건가요', 'O'), ('2', 'B-NOH'), ('허경영', 'B-PER'), ('도', 'O'), ('보수', 'O'), ('쪽', 'O'), ('이', 'O'), ('라', 'O'), ('윤', 'B-PER'), ('쪽', 'O'), ('표', 'O'), ('가', 'O'), ('갈리', 'O'), ('는', 'O'), ('건가요', 'O')]","['허경영', '윤', '허경영', '윤']",0,0.0711,0,0.0402,0,0.0043999999999999,0.0711,0,0.0386,0,0
287672,20,MLB,20MLB147877,202201050064296585,MLB20,임태희는 정태근 금태섭과는 조금 다르긴 합니다 1,임태희가 중책을 맡으면 김종인과 여지가 남는 것 아니냐는 해석도 있긴한데정태근 금태섭은 예전부터 김종인과 인연이 있는 사람인데임태희는 제가 알기로는 이번 대선 이전에는 김종인과 인연이 있던 사람이 아닙니다누가 추천을 한건지 다른 경로인건지 모르겠는데 김종인이 임태희를 굉장히 좋게 봐서 이번 선대위에 같이 참여한게 사실상 첫번째 인연이죠그냥 제 갈길 가는 것 이라고 해석하는게 맞지 않을까 싶네요,임태희는 정태근 금태섭과는 조금 다르긴 합니다 임태희가 중책을 맡으면 김종인과 여지가 남는 것 아니냐는 해석도 있긴한데정태근 금태섭은 예전부터 김종인과 인연이 있는 사람인데임태희는 제가 알기로는 이번 대선 이전에는 김종인과 인연이 있던 사람이 아닙니다누가 추천을 한건지 다른 경로인건지 모르겠는데 김종인이 임태희를 굉장히 좋게 봐서 이번 선대위에 같이 참여한게 사실상 첫번째 인연이죠그냥 제 갈길 가는 것 이라고 해석하는게 맞지 않을까 싶네요,2022-01-05,2022,1,5,12:20:00,607,0,"[('임태희', 'B-PER'), ('는', 'O'), ('정태근', 'B-PER'), ('금태섭', 'B-PER'), ('과', 'O'), ('는', 'O'), ('조금', 'O'), ('다르', 'O'), ('긴', 'O'), ('합니다', 'O'), ('1', 'B-NOH'), ('임태희', 'B-PER'), ('가', 'O'), ('중책', 'O'), ('을', 'O'), ('맡', 'O'), ('으면', 'O'), ('김종인', 'B-PER'), ('과', 'O'), ('여지', 'O'), ('가', 'O'), ('남', 'O'), ('는', 'O'), ('것', 'O'), ('아니', 'O'), ('냐는', 'O'), ('해석', 'O'), ('도', 'O'), ('있', 'O'), ('긴', 'O'), ('한데', 'O'), ('정태근', 'B-PER'), ('금태섭', 'B-PER'), ('은', 'O'), ('예전', 'O'), ('부터', 'O'), ('김종인', 'B-PER'), ('과', 'O'), ('인연', 'O'), ('이', 'O'), ('있', 'O'), ('는', 'O'), ('사람', 'O'), ('인데', 'O'), ('임태희', 'B-PER'), ('는', 'O'), ('제', 'O'), ('가', 'O'), ('알', 'O'), ('기', 'O'), ('로', 'O'), ('는', 'O'), ('이번', 'O'), ('대선', 'O'), ('이전', 'O'), ('에', 'O'), ('는', 'O'), ('김종인', 'B-PER'), ('과', 'O'), ('인연', 'O'), ('이', 'O'), ('있', 'O'), ('던', 'O'), ('사람', 'O'), ('이', 'O'), ('아닙니다', 'O'), ('누가', 'O'), ('추천', 'O'), ('을', 'O'), ('한', 'O'), ('건지', 'O'), ('다른', 'O'), ('경로', 'O'), ('인', 'O'), ('건지', 'O'), ('모르', 'O'), ('겠', 'O'), ('는데', 'O'), ('김종인', 'B-PER'), ('이', 'O'), ('임태희', 'B-PER'), ('를', 'O'), ('굉장히', 'O'), ('좋', 'O'), ('게', 'O'), ('봐서', 'O'), ('이번', 'O'), ('선대위', 'O'), ('에', 'O'), ('같이', 'O'), ('참여', 'O'), ('한', 'O'), ('게', 'O'), ('사실상', 'O'), ('첫', 'O'), ('번', 'O'), ('째', 'O'), ('인연', 'O'), ('이', 'O'), ('죠', 'O'), ('그냥', 'O'), ('제', 'O'), ('갈길', 'O'), ('가', 'O'), ('는', 'O'), ('것', 'O'), ('이', 'O'), ('라고', 'O'), ('해석', 'O'), ('하', 'O'), ('는', 'O'), ('게', 'O'), ('맞', 'O'), ('지', 'O'), ('않', 'O'), ('을까', 'O'), ('싶', 'O'), ('네요', 'O')]","['임태희', '금태섭', '임태희', '김종인', '금태섭', '김종인', '임태희', '김종인', '김종인', '임태희']",0,0.0342,0,0.0173999999999999,0,0.0022999999999999,0.0342,0,0.018,0,0
240967,20,MLB,20MLB101172,202202010065079480,MLB20,이재명한테 미리 줬던 토론 주제 이재명 토론 빤스런 이유 13,"크게 2가지 관련해서만 가져왔지만,,, 자료가 이렇게나 많습니다 이외에도 백현동, 형님 사건, 정신병 40명 이상 강제 입원 사건FC 성남 사건 등등 이걸 어떻게 다 외웁니까 ㅋㅋ","이재명한테 미리 줬던 토론 주제 이재명 토론 빤스런 이유 크게 2가지 관련해서만 가져왔지만,,, 자료가 이렇게나 많습니다 이외에도 백현동, 형님 사건, 정신병 40명 이상 강제 입원 사건FC 성남 사건 등등 이걸 어떻게 다 외웁니까 ㅋㅋ",2022-02-01,2022,2,1,00:01:00,1460,0,"[('이재명', 'B-PER'), ('한테', 'O'), ('미리', 'O'), ('줬', 'O'), ('던', 'O'), ('토론', 'O'), ('주제', 'O'), ('이재명', 'B-PER'), ('토론', 'O'), ('빤', 'O'), ('스런', 'O'), ('이유', 'O'), ('13', 'B-NOH'), ('크', 'O'), ('게', 'O'), ('2', 'B-NOH'), ('가지', 'I-NOH'), ('관련', 'O'), ('해서', 'O'), ('만', 'O'), ('가져왔', 'O'), ('지만', 'O'), (',', 'O'), (',', 'O'), (',', 'O'), ('자료', 'O'), ('가', 'O'), ('이렇게', 'O'), ('나', 'O'), ('많', 'O'), ('습니다', 'O'), ('이외', 'O'), ('에', 'O'), ('도', 'O'), ('백현동', 'B-LOC'), (',', 'O'), ('형', 'B-PER'), ('님', 'I-PER'), ('사건', 'O'), (',', 'O'), ('정신병', 'O'), ('40', 'B-NOH'), ('명', 'I-NOH'), ('이상', 'O'), ('강제', 'O'), ('입원', 'O'), ('사건', 'O'), ('FC', 'O'), ('성남', 'B-LOC'), ('사건', 'O'), ('등등', 'O'), ('이걸', 'O'), ('어떻게', 'O'), ('다', 'O'), ('외', 'O'), ('웁', 'O'), ('니까', 'O'), ('ㅋㅋ', 'O')]","['이재명', '이재명', '형님']",0,0.1249,0,0.0397999999999999,0,0.0128,0.1249,0,0.0592,0,0
275805,20,MLB,20MLB136010,202201080064419378,MLB20,와 민주당 180석이라 어차피 여성가족부 바로 해체는 못하는군요 6,그럼 지선 총선 때 여성가족부 해체 막는민주당 찌끄래기들 다 몰아내고나서 윤석열이 공약 지키나 안지키나 지켜봐야겠군요 지선 총선 투표지침 알려주셔서 감사합니다 밭갈이분들,와 민주당 180석이라 어차피 여성가족부 바로 해체는 못하는군요 그럼 지선 총선 때 여성가족부 해체 막는민주당 찌끄래기들 다 몰아내고나서 윤석열이 공약 지키나 안지키나 지켜봐야겠군요 지선 총선 투표지침 알려주셔서 감사합니다 밭갈이분들,2022-01-08,2022,1,8,18:32:00,559,0,"[('와', 'O'), ('민주당', 'B-ORG'), ('180', 'B-NOH'), ('석', 'I-NOH'), ('이', 'O'), ('라', 'O'), ('어차피', 'O'), ('여성', 'B-ORG'), ('가족', 'I-ORG'), ('부', 'I-ORG'), ('바로', 'O'), ('해체', 'O'), ('는', 'O'), ('못하', 'O'), ('는군요', 'O'), ('6', 'B-NOH'), ('그럼', 'O'), ('지선', 'O'), ('총선', 'O'), ('때', 'O'), ('여성', 'B-ORG'), ('가족', 'I-ORG'), ('부', 'I-ORG'), ('해체', 'O'), ('막', 'O'), ('는', 'O'), ('민주당', 'B-ORG'), ('찌', 'O'), ('끄', 'O'), ('래', 'O'), ('기', 'O'), ('들', 'O'), ('다', 'O'), ('몰아내', 'O'), ('고', 'O'), ('나', 'O'), ('서', 'O'), ('윤석열', 'B-PER'), ('이', 'O'), ('공약', 'O'), ('지키', 'O'), ('나', 'O'), ('안', 'O'), ('지키', 'O'), ('나', 'O'), ('지켜봐야', 'O'), ('겠', 'O'), ('군요', 'O'), ('지선', 'O'), ('총선', 'O'), ('투표', 'O'), ('지침', 'O'), ('알려', 'O'), ('주', 'O'), ('셔서', 'O'), ('감사', 'O'), ('합니다', 'O'), ('밭갈이', 'O'), ('분', 'O'), ('들', 'O')]",['윤석열'],0,0.2552,0,0.0495999999999999,0,0.0339,0.2552,0,0.1129,0,0
237345,20,MLB,20MLB97550,202202030065161443,MLB20,연금개혁 말은 윤석열 말이 맞지 않나요 4,"솔직히 연금 엄청 손봐야 하는걸로 아는데, 무조건 욕먹는거 감수해야 하는 파트지만 필요한 만큼정권 초기에 해야한다는 것에도 공감되네요","연금개혁 말은 윤석열 말이 맞지 않나요 솔직히 연금 엄청 손봐야 하는걸로 아는데, 무조건 욕먹는거 감수해야 하는 파트지만 필요한 만큼정권 초기에 해야한다는 것에도 공감되네요",2022-02-03,2022,2,3,20:33:00,639,0,"[('연금', 'O'), ('개혁', 'O'), ('말', 'O'), ('은', 'O'), ('윤석열', 'B-PER'), ('말', 'O'), ('이', 'O'), ('맞', 'O'), ('지', 'O'), ('않', 'O'), ('나요', 'O'), ('4', 'B-NOH'), ('솔직히', 'O'), ('연금', 'O'), ('엄청', 'O'), ('손봐야', 'O'), ('하', 'O'), ('는', 'O'), ('걸로', 'O'), ('아', 'O'), ('는데', 'O'), (',', 'O'), ('무조건', 'O'), ('욕먹', 'O'), ('는', 'O'), ('거', 'O'), ('감수', 'O'), ('해야', 'O'), ('하', 'O'), ('는', 'O'), ('파트', 'O'), ('지만', 'O'), ('필요', 'O'), ('한', 'O'), ('만큼', 'O'), ('정권', 'O'), ('초기', 'O'), ('에', 'O'), ('해야', 'O'), ('한다는', 'O'), ('것', 'O'), ('에', 'O'), ('도', 'O'), ('공감', 'O'), ('되', 'O'), ('네요', 'O')]",['윤석열'],0,0.0433999999999999,0,0.0466999999999999,0,0.003,0.0466999999999999,0,0.031,0,0
